id_estoque,data_estoque,id_produto,estoque
8444859801270880168,2021-06-02,1436,0.0
8662383461905949519,2021-11-09,1903,0.0
3586384286295731498,2022-05-09,3641,0.0
7797176302685027103,2021-06-12,2856,0.0
8126524852512243815,2021-06-12,196,0.0
1394461813420185976,2021-11-09,2856,0.0
6904725057559320566,2021-09-07,351,0.0
2652375341110179944,2022-05-09,3749,0.0
7430195150913472873,2021-09-07,1436,0.0
6494494815580592405,2022-05-09,1169,1360.0
3603651906919360729,2021-10-30,2856,0.0
9199820484317083536,2021-10-30,2856,0.0
4971143781366152947,2021-10-30,2856,0.0
7218021015860601857,2022-05-09,3240,97.0
2275028882958763135,2022-05-09,1498,1609.0
1252414647729861420,2021-06-02,1903,0.0
6341864312931328132,2022-05-09,1120,326.0
4629039796261245975,2022-05-09,847,471.0
1806209091850285669,2021-06-12,196,0.0
5412808229997724813,2022-05-09,3875,380.0
6080711498312605281,2022-05-09,3875,585.0
1066201747598907950,2022-05-09,1012,387.0
2704854841011811843,2021-08-31,1903,0.0
5477376364724718210,2022-05-09,2048,179.0
7758686542662409629,2022-05-09,2683,309.0
1074536126247350844,2022-05-09,2148,46.0
4786670680613297345,2021-09-07,1903,0.0
6341716384935683965,2021-06-12,1903,0.0
669347223184042429,2021-11-09,1903,0.0
3547265849045193929,2021-10-30,1903,0.0
774737698657519960,2021-06-01,1903,0.0
497523994329760911,2021-06-12,351,0.0
6595822779546682101,2021-06-01,196,0.0
6590320409815620082,2021-10-30,196,0.0
860387851521968992,2021-09-07,2856,0.0
2734885417404770210,2021-06-01,1436,0.0
6602270523715408709,2021-06-11,1436,0.0
7523432149367934442,2022-05-09,603,591.0
4225067429105867471,2022-05-09,3185,7598.0
7519752071372029976,2021-11-09,2856,0.0
278192093852124937,2021-06-02,2856,0.0
8213114737660709065,2021-10-30,1436,0.0
2653075193799282131,2022-05-09,2688,4624.0
596234306031022437,2021-06-11,196,0.0
2158198807055024977,2021-08-31,1903,0.0
1159161884339264566,2021-06-12,351,0.0
3251203328157244199,2022-05-09,3389,1279.0
6425610069857832632,2022-05-09,1573,3106.0
7984234252109510458,2022-05-09,2148,172.0
1009366165721721114,2021-06-12,1903,0.0
5640717002241154115,2022-05-09,1051,0.0
5306723641566577865,2022-05-09,2373,179.0
4113094133570604313,2022-05-09,1187,302.0
3673973631335451393,2021-11-09,1903,0.0
6250401234175567418,2021-06-01,351,0.0
7930835350073697754,2021-06-01,2856,0.0
8597979029046807481,2021-06-11,1903,0.0
2033023956773380576,2021-06-11,1903,0.0
6284807386478516068,2021-06-11,1903,0.0
8872559430794495950,2022-05-09,2688,8111.0
6381700331892165253,2021-08-31,2856,0.0
2167304880726729346,2022-05-09,1169,2218.0
5872597089397388078,2021-11-09,196,0.0
6339647288148168124,2022-05-09,2148,17.0
2509762477210735150,2021-10-30,351,0.0
218178466899673557,2021-10-30,351,0.0
7530936723475968132,2022-05-09,137,50.0
7311287725913474981,2021-11-09,1903,0.0
8954009961290133329,2022-05-09,1120,13.0
1339992579417151438,2022-05-09,1449,157.0
7398097093313437745,2022-05-09,257,2164.0
5256353302840254390,2021-11-09,1436,0.0
5359361194343691313,2021-11-09,1436,0.0
2982372506733465882,2021-11-09,351,0.0
9016720311204281625,2022-05-09,3965,1138.0
360827261342035437,2021-06-11,196,0.0
4817734943790738560,2021-06-01,1903,0.0
2214003380291458429,2021-09-07,1436,0.0
6621959382371270887,2022-05-09,2276,1729.0
6192846495123742774,2022-05-09,2751,530.0
8664233488125551153,2021-06-01,1436,0.0
4278812058427104917,2021-06-11,1436,0.0
2517179423752263176,2021-06-11,351,0.0
6458699598077260072,2021-10-30,351,0.0
4746759084773334055,2021-06-12,2856,0.0
4522930715247405422,2021-11-09,2856,0.0
8928223281885986081,2022-05-09,1449,125.0
217248260809995445,2021-06-02,2856,0.0
8837673880765978715,2021-10-30,1903,0.0
481164569198243203,2021-06-01,1903,0.0
587101038387578107,2022-05-09,1443,21.0
8243016166198200320,2021-09-07,1436,0.0
3906009051040902052,2021-08-31,2856,0.0
6977215569098734111,2021-08-31,2856,0.0
2023531302075590522,2021-09-07,2856,0.0
7636222393917325048,2022-05-09,551,213.0
204524099972564799,2022-05-09,551,116.0
5874540473036321114,2022-05-09,551,1039.0
5575969123420384602,2021-06-02,351,0.0
8741986090760163017,2022-05-09,1848,160728.0
6610998368819722641,2022-05-09,3615,6027.0
7869884540713748843,2022-05-09,350,8891.0
5191364174503174002,2022-05-09,350,6033.0
6679187982740349540,2021-10-30,1903,0.0
3729401711347432545,2022-05-09,383,5405.0
5716835727540699222,2021-11-09,351,0.0
7519477965457320096,2021-09-07,351,0.0
680444457702933901,2021-10-30,1436,0.0
7883441892078308765,2021-08-31,1903,0.0
5334296864776709369,2021-08-31,1903,0.0
7829632295644083570,2022-05-09,3790,4949.0
1455843719095701760,2022-05-09,1118,75.0
1910028860388863364,2022-05-09,551,517.0
3072151911040808707,2022-05-09,2683,182.0
3903817538458646790,2022-05-09,2683,282.0
6729247118623336057,2021-10-30,351,0.0
8642128942225139902,2021-08-31,1436,0.0
1439778779784886639,2022-05-09,2373,138.0
3135086999163121884,2021-06-02,1436,0.0
7679605417319652491,2022-05-09,1120,170.0
7147594587663775646,2022-05-09,1120,59.0
2038447199407613037,2022-05-09,3185,11603.0
